run,arm,panel,n_logged,n_batches,best_is_sr,chosen_best_sr,n_star,n_star_chosen,null_p95,mean_complexity
AGB-SYN0-00,AGENT,SYN0-00,300,12,2.2839,2.2839,10000000.0,10000000.0,0.6702449999999993,11.826666666666666
AGB-SYN0-01,AGENT,SYN0-01,300,12,1.9783,1.9783,10000000.0,10000000.0,0.7593349999999999,9.493333333333334
AGB-SYN0-02,AGENT,SYN0-02,300,12,2.2123,2.2123,10000000.0,10000000.0,0.7145449999999998,8.96
CS-SYN0-00-s9500,CANON-SAMPLER,SYN0-00,114,12,0.6904,0.6904,13.0357377990203,13.0357377990203,0.6702449999999993,2.8859649122807016
CS-SYN0-00-s9501,CANON-SAMPLER,SYN0-00,106,12,0.7551,0.7551,17.63068965317728,17.63068965317728,0.6702449999999993,2.839622641509434
CS-SYN0-01-s9500,CANON-SAMPLER,SYN0-01,114,12,0.9848,0.9848,48.03341326705519,48.03341326705519,0.7593349999999999,2.8859649122807016
CS-SYN0-01-s9501,CANON-SAMPLER,SYN0-01,106,12,0.8199,0.8199,18.222487041043557,18.222487041043557,0.7593349999999999,2.839622641509434
CS-SYN0-02-s9500,CANON-SAMPLER,SYN0-02,114,12,1.0333,1.0333,135.10812226777475,135.10812226777475,0.7145449999999998,2.8859649122807016
CS-SYN0-02-s9501,CANON-SAMPLER,SYN0-02,106,12,0.8983,0.8983,48.422689412135085,48.422689412135085,0.7145449999999998,2.839622641509434
CS-SYN0-03-s9500,CANON-SAMPLER,SYN0-03,114,12,1.1325,1.1325,114.92114837594927,114.92114837594927,0.7193050000000001,2.8859649122807016
CS-SYN0-03-s9501,CANON-SAMPLER,SYN0-03,106,12,1.0358,1.0358,58.42050000521424,58.42050000521424,0.7193050000000001,2.839622641509434
CS-SYN0-04-s9500,CANON-SAMPLER,SYN0-04,114,12,0.8909,0.8909,43.93971758249155,43.93971758249155,0.756,2.8859649122807016
CS-SYN0-04-s9501,CANON-SAMPLER,SYN0-04,106,12,0.9812,0.9812,131.0077912033537,131.0077912033537,0.756,2.839622641509434
CS-SYN0-05-s9500,CANON-SAMPLER,SYN0-05,114,12,1.0618,1.0618,52.61326248795255,52.61326248795255,0.682345,2.8859649122807016
CS-SYN0-05-s9501,CANON-SAMPLER,SYN0-05,106,12,1.0618,1.0618,52.61326248795255,52.61326248795255,0.682345,2.839622641509434
CS-SYN0-06-s9500,CANON-SAMPLER,SYN0-06,114,12,1.0071,1.0071,36.3006376568494,36.3006376568494,0.7259399999999999,2.8859649122807016
CS-SYN0-06-s9501,CANON-SAMPLER,SYN0-06,106,12,1.0071,1.0071,36.3006376568494,36.3006376568494,0.7259399999999999,2.839622641509434
CS-SYN0-07-s9500,CANON-SAMPLER,SYN0-07,114,12,1.0203,1.0203,36.6473354853049,36.6473354853049,0.7702,2.8859649122807016
CS-SYN0-07-s9501,CANON-SAMPLER,SYN0-07,106,12,0.9918,0.9918,31.69281319748486,31.69281319748486,0.7702,2.839622641509434
CS-SYN0-08-s9500,CANON-SAMPLER,SYN0-08,114,12,0.9001,0.9001,39.78002396848773,39.78002396848773,0.7060599999999995,2.8859649122807016
CS-SYN0-08-s9501,CANON-SAMPLER,SYN0-08,106,12,0.9876,0.9876,72.98584271232448,72.98584271232448,0.7060599999999995,2.839622641509434
CS-SYN0-09-s9500,CANON-SAMPLER,SYN0-09,114,12,1.3519,1.3519,142.56341141041102,142.56341141041102,0.7956699999999999,2.8859649122807016
CS-SYN0-09-s9501,CANON-SAMPLER,SYN0-09,106,12,1.3519,1.3519,142.56341141041102,142.56341141041102,0.7956699999999999,2.839622641509434
CS-SYN0-10-s9500,CANON-SAMPLER,SYN0-10,114,12,0.78,0.78,34.08021199969172,34.08021199969172,0.625095,2.8859649122807016
CS-SYN0-10-s9501,CANON-SAMPLER,SYN0-10,106,12,0.7531,0.7531,28.08837695131622,28.08837695131622,0.625095,2.839622641509434
CS-SYN0-11-s9500,CANON-SAMPLER,SYN0-11,114,12,0.7028,0.7028,12.36309159404108,12.36309159404108,0.6804,2.8859649122807016
CS-SYN0-11-s9501,CANON-SAMPLER,SYN0-11,106,12,0.6348,0.6348,8.610300710151616,8.610300710151616,0.6804,2.839622641509434
CS-SYNA05-00-s9500,CANON-SAMPLER,SYNA05-00,114,12,0.8188,0.8188,11.709159142059969,11.709159142059969,0.8310999999999993,2.8859649122807016
CS-SYNA05-00-s9501,CANON-SAMPLER,SYNA05-00,106,12,0.8006,0.8006,10.854652341725902,10.854652341725902,0.8310999999999993,2.839622641509434
CS-SYNA05-01-s9500,CANON-SAMPLER,SYNA05-01,114,12,1.0751,1.0751,8.443922653093205,8.443922653093205,1.1824,2.8859649122807016
CS-SYNA05-01-s9501,CANON-SAMPLER,SYNA05-01,106,12,1.1485,1.1485,10.872605035477992,10.872605035477992,1.1824,2.839622641509434
CS-SYNA05-02-s9500,CANON-SAMPLER,SYNA05-02,114,12,0.8326,0.8326,17.720669387933995,17.720669387933995,0.7697949999999993,2.8859649122807016
CS-SYNA05-02-s9501,CANON-SAMPLER,SYNA05-02,106,12,1.0795,1.0795,73.60042950192171,73.60042950192171,0.7697949999999993,2.839622641509434
