run,arm,panel,setting,ckpt,rule,sr_is,sr_oos,decay,n_logged,legs,cplx,turnover
CS-SYN0-02-s9501,CANON-SAMPLER,SYN0-02,SYN0,A,chosen,0.935462113268325,-0.95195772130312,1.8874198345714448,106,1.0,2.6666666666666665,
CS-SYN0-03-s9500,CANON-SAMPLER,SYN0-03,SYN0,A,argmax,1.4534420197525795,-1.015042285152127,2.4684843049047065,114,1.0,3.0,0.13808078333333332
CS-SYN0-03-s9500,CANON-SAMPLER,SYN0-03,SYN0,A,chosen,1.4534420197525795,-1.015042285152127,2.4684843049047065,114,1.0,3.0,
CS-SYN0-03-s9501,CANON-SAMPLER,SYN0-03,SYN0,A,argmax,1.4541555310104615,-0.23715137992902072,1.6913069109394823,106,1.0,2.6666666666666665,0.04942810000000001
CS-SYN0-03-s9501,CANON-SAMPLER,SYN0-03,SYN0,A,chosen,1.4541555310104615,-0.23715137992902072,1.6913069109394823,106,1.0,2.6666666666666665,
CS-SYN0-04-s9500,CANON-SAMPLER,SYN0-04,SYN0,A,argmax,1.2760760118625307,-1.4302567065602403,2.706332718422771,114,1.0,3.3333333333333335,0.3483561
CS-SYN0-04-s9500,CANON-SAMPLER,SYN0-04,SYN0,A,chosen,1.2760760118625307,-1.4302567065602403,2.706332718422771,114,1.0,3.3333333333333335,
CS-SYN0-04-s9501,CANON-SAMPLER,SYN0-04,SYN0,A,argmax,1.4262179197274325,0.5143937700996322,0.9118241496278003,106,1.0,3.3333333333333335,0.15066943333333335
CS-SYN0-04-s9501,CANON-SAMPLER,SYN0-04,SYN0,A,chosen,1.4262179197274325,0.5143937700996322,0.9118241496278003,106,1.0,3.3333333333333335,
CS-SYN0-05-s9500,CANON-SAMPLER,SYN0-05,SYN0,A,argmax,1.317069068569219,0.48642406294542606,0.830645005623793,114,1.0,3.3333333333333335,0.07369263333333333
CS-SYN0-05-s9500,CANON-SAMPLER,SYN0-05,SYN0,A,chosen,1.317069068569219,0.48642406294542606,0.830645005623793,114,1.0,3.3333333333333335,
CS-SYN0-05-s9501,CANON-SAMPLER,SYN0-05,SYN0,A,argmax,1.4172766624999247,0.5539547959154929,0.8633218665844318,106,1.0,3.6666666666666665,0.12411426666666668
CS-SYN0-05-s9501,CANON-SAMPLER,SYN0-05,SYN0,A,chosen,1.4172766624999247,0.5539547959154929,0.8633218665844318,106,1.0,3.6666666666666665,
CS-SYN0-06-s9500,CANON-SAMPLER,SYN0-06,SYN0,A,argmax,1.1615680065731304,2.2811981082478505,-1.11963010167472,114,1.0,2.6666666666666665,0.4249001333333333
CS-SYN0-06-s9500,CANON-SAMPLER,SYN0-06,SYN0,A,chosen,1.1615680065731304,2.2811981082478505,-1.11963010167472,114,1.0,2.6666666666666665,
CS-SYN0-06-s9501,CANON-SAMPLER,SYN0-06,SYN0,A,argmax,1.1615680065731304,2.2811981082478505,-1.11963010167472,106,1.0,2.6666666666666665,0.4249001333333333
CS-SYN0-06-s9501,CANON-SAMPLER,SYN0-06,SYN0,A,chosen,1.1615680065731304,2.2811981082478505,-1.11963010167472,106,1.0,2.6666666666666665,
CS-SYN0-07-s9500,CANON-SAMPLER,SYN0-07,SYN0,A,argmax,1.3998504100959968,0.9774520382014198,0.42239837189457696,114,1.0,3.3333333333333335,0.3366256666666667
CS-SYN0-07-s9500,CANON-SAMPLER,SYN0-07,SYN0,A,chosen,1.3998504100959968,0.9774520382014198,0.42239837189457696,114,1.0,3.3333333333333335,
CS-SYN0-07-s9501,CANON-SAMPLER,SYN0-07,SYN0,A,argmax,1.2466614815088122,-0.07046147097138108,1.3171229524801933,106,1.0,3.3333333333333335,0.0923238666666667
CS-SYN0-07-s9501,CANON-SAMPLER,SYN0-07,SYN0,A,chosen,1.2466614815088122,-0.07046147097138108,1.3171229524801933,106,1.0,3.3333333333333335,
CS-SYN0-08-s9500,CANON-SAMPLER,SYN0-08,SYN0,A,argmax,1.3813008675126257,-1.158267083518242,2.5395679510308677,114,1.0,3.3333333333333335,0.23311079999999998
CS-SYN0-08-s9500,CANON-SAMPLER,SYN0-08,SYN0,A,chosen,1.3813008675126257,-1.158267083518242,2.5395679510308677,114,1.0,3.3333333333333335,
CS-SYN0-08-s9501,CANON-SAMPLER,SYN0-08,SYN0,A,argmax,1.6397514635490666,-1.9302074201656265,3.569958883714693,106,1.0,3.3333333333333335,0.24251104999999998
CS-SYN0-08-s9501,CANON-SAMPLER,SYN0-08,SYN0,A,chosen,1.6397514635490666,-1.9302074201656265,3.569958883714693,106,1.0,3.3333333333333335,
CS-SYN0-09-s9500,CANON-SAMPLER,SYN0-09,SYN0,A,argmax,1.8954562930198744,0.42185253503728815,1.4736037579825862,114,1.0,3.6666666666666665,0.12329668333333334
CS-SYN0-09-s9500,CANON-SAMPLER,SYN0-09,SYN0,A,chosen,1.8954562930198744,0.42185253503728815,1.4736037579825862,114,1.0,3.6666666666666665,
CS-SYN0-09-s9501,CANON-SAMPLER,SYN0-09,SYN0,A,argmax,1.9227923390187642,0.1387416574650211,1.7840506815537431,106,1.0,3.0,0.14829555000000003
CS-SYN0-09-s9501,CANON-SAMPLER,SYN0-09,SYN0,A,chosen,1.9227923390187642,0.1387416574650211,1.7840506815537431,106,1.0,3.0,
CS-SYN0-10-s9500,CANON-SAMPLER,SYN0-10,SYN0,A,argmax,1.2269380371681688,-0.8279488382366841,2.054886875404853,114,1.0,2.6666666666666665,0.19264568333333332
CS-SYN0-10-s9500,CANON-SAMPLER,SYN0-10,SYN0,A,chosen,1.2269380371681688,-0.8279488382366841,2.054886875404853,114,1.0,2.6666666666666665,
CS-SYN0-10-s9501,CANON-SAMPLER,SYN0-10,SYN0,A,argmax,1.0607245881390706,-0.8478117652466765,1.9085363533857471,106,1.0,3.0,0.17417436666666666
CS-SYN0-10-s9501,CANON-SAMPLER,SYN0-10,SYN0,A,chosen,1.0607245881390706,-0.8478117652466765,1.9085363533857471,106,1.0,3.0,
CS-SYN0-11-s9500,CANON-SAMPLER,SYN0-11,SYN0,A,argmax,1.064904399308019,-0.9387168825932733,2.0036212819012924,114,1.0,3.0,0.07953130000000001
CS-SYN0-11-s9500,CANON-SAMPLER,SYN0-11,SYN0,A,chosen,1.064904399308019,-0.9387168825932733,2.0036212819012924,114,1.0,3.0,
CS-SYN0-11-s9501,CANON-SAMPLER,SYN0-11,SYN0,A,argmax,0.8177153939185823,-0.8358912781140403,1.6536066720326226,106,1.0,3.0,0.10026230000000001
