N,k,sr_train,sr_oos,sr_train_sd,panel
400,12,2.595189891334003,0.29819376926193747,0.31283233029923835,SYN0-08
400,20,2.2508499924321836,0.9109824902365782,0.20646595644964144,SYN0-08
25,1,1.1117491646699569,0.19077792049820894,0.34826349179361876,SYN0-09
25,2,1.1845412834904119,0.332120759692916,0.4184491856894879,SYN0-09
25,3,1.1866855442712285,0.29359791372919575,0.4648908451183884,SYN0-09
25,5,1.1875650431592015,0.32265260088846454,0.44075221198851217,SYN0-09
25,8,1.0847158085423017,0.27586575481503983,0.4412465152135689,SYN0-09
25,12,0.8333419755373532,0.18432238147839125,0.40794917183560153,SYN0-09
25,20,0.17106945288970937,-0.23915780280784368,0.3764662929447869,SYN0-09
50,1,1.3497154090994348,0.440109453302626,0.36934480563314126,SYN0-09
50,2,1.5398483664361173,0.3125451538885726,0.4086403044228867,SYN0-09
50,3,1.6360470671005585,0.3424832839751315,0.4535940322764468,SYN0-09
50,5,1.585758234316454,0.3754923310398706,0.49306927421741087,SYN0-09
50,8,1.5065087136469029,0.4901302424774171,0.4727089582313628,SYN0-09
50,12,1.4126630447351545,0.5682647461509718,0.4007758945127762,SYN0-09
50,20,1.1545151919767156,0.3872764071053102,0.3846644336461575,SYN0-09
100,1,1.552680063707995,0.6173667302384019,0.305652095479919,SYN0-09
100,2,1.782433818410941,0.5982983271267347,0.3311245455050888,SYN0-09
100,3,1.9309973136843406,0.5171619100736153,0.36491974118582027,SYN0-09
100,5,2.0630261940323398,0.4628502102669341,0.47355424859255696,SYN0-09
100,8,2.0490963265074726,0.4039093896307064,0.5775232180710944,SYN0-09
100,12,1.8155509087991353,0.38030143876945194,0.5017394704969027,SYN0-09
100,20,1.6657877510258206,0.6631975483642037,0.36600049256646283,SYN0-09
200,1,1.74050925115771,0.9493710357761216,0.20630382078998843,SYN0-09
200,2,1.9950793023577253,1.0460308784588284,0.28591886517697807,SYN0-09
200,3,2.213938589213147,0.9669386534712057,0.26597988733084676,SYN0-09
200,5,2.4360168376240705,0.7667155064798535,0.3142312651965138,SYN0-09
200,8,2.7183872048901385,0.7590504424822363,0.376488468316499,SYN0-09
200,12,2.783981889084754,0.5941316743528905,0.5725041332734754,SYN0-09
200,20,2.146940820704687,0.3931801017757934,0.4939065188056651,SYN0-09
400,1,1.8516225409856708,1.065798214354635,0.02868707319583464,SYN0-09
400,2,1.9985894520111094,1.400242378295342,0.2090272532709471,SYN0-09
400,3,2.303637237385897,1.7263359114990247,0.1719252296754392,SYN0-09
400,5,2.664200549097762,1.4402914855095803,0.21813594947190965,SYN0-09
400,8,2.911897607037625,0.842692074791845,0.183346125998179,SYN0-09
400,12,3.2737992457647045,0.9857916922347953,0.23396894657660006,SYN0-09
400,20,3.6607168101145917,0.8370708176819545,0.4654286587722835,SYN0-09
25,1,0.942943593851077,0.2379255208578396,0.2709678967247606,SYN0-10
25,2,1.041532326899273,0.30542551451398786,0.2910082091854046,SYN0-10
25,3,1.0743401570244044,0.21226132562538902,0.27243882354770094,SYN0-10
25,5,1.0680956169987956,0.21994718890385978,0.2772800153969155,SYN0-10
25,8,0.9764470120901055,0.27806300182279875,0.30480496113019384,SYN0-10
25,12,0.8318304565041214,0.4575829985437487,0.3105843182243256,SYN0-10
25,20,0.21639258597940894,0.8389939354182934,0.3590796106499346,SYN0-10
50,1,1.08627844064777,0.11867997148761206,0.2318100619691305,SYN0-10
50,2,1.2300396455371143,0.133535245744293,0.25853591116841823,SYN0-10
50,3,1.2691547948406592,0.24015365210155937,0.28572323051389525,SYN0-10
50,5,1.327838326162529,0.28208013247834074,0.2902956414684744,SYN0-10
50,8,1.3283856400958405,0.2663402075257429,0.27344265230000847,SYN0-10
50,12,1.283288593054555,0.20130550510836578,0.2772292024380599,SYN0-10
