N,k,sr_train,sr_oos,sr_train_sd,panel
25,5,1.1039218159263486,1.0845324247943662,0.31944003072496524,SYN0-06
25,8,1.0163449348948286,0.764161727717279,0.3299390422652791,SYN0-06
25,12,0.8317070519102419,0.5250180205632913,0.36967502762023835,SYN0-06
25,20,0.10267053140625575,-0.31476509479210846,0.37940203364602154,SYN0-06
50,1,1.1216924666189343,1.1865673154041483,0.1864523546589481,SYN0-06
50,2,1.2462457700949863,1.3365057336736088,0.2504165298994934,SYN0-06
50,3,1.2881647629674546,1.4144015204799525,0.27050971137543883,SYN0-06
50,5,1.3505367592048776,1.423128402059641,0.27246602237397727,SYN0-06
50,8,1.4098601745069994,1.3614358363950716,0.28246069049099043,SYN0-06
50,12,1.3978344814061752,1.3405959380774157,0.2852228043902782,SYN0-06
50,20,1.1770210596645776,0.8396711048365181,0.3441323047402408,SYN0-06
100,1,1.233999281240445,1.209512941176466,0.1257857523898378,SYN0-06
100,2,1.3779182221938748,1.482583216110075,0.23940934881013773,SYN0-06
100,3,1.4144383317120752,1.652288162617657,0.2700300704838528,SYN0-06
100,5,1.4824280990894476,1.735683730686498,0.2635155771757336,SYN0-06
100,8,1.5840673430362613,1.7259761461124912,0.2842101823988406,SYN0-06
100,12,1.6600699557770036,1.710905565049562,0.26606472671309955,SYN0-06
100,20,1.7175819617972439,1.7323195340839936,0.22958796072948134,SYN0-06
200,1,1.298620647938411,1.1048524014324104,0.061071700706985664,SYN0-06
200,2,1.5167977562519048,1.498145481466218,0.22707945189826761,SYN0-06
200,3,1.5538242278490242,1.668069142336637,0.2683899751884938,SYN0-06
200,5,1.5407398145509412,1.8682770871210652,0.2649821384603454,SYN0-06
200,8,1.6328304485474419,2.0857068113285813,0.24694288588698896,SYN0-06
200,12,1.747022762593994,2.0872630365988654,0.24875303552478722,SYN0-06
200,20,1.819146925213812,1.9586829057219257,0.25144113446572497,SYN0-06
400,1,1.3358941646400138,0.7629207888469872,0.021716726787557133,SYN0-06
400,2,1.697728133335101,1.4359620792163315,0.19554475776315397,SYN0-06
400,3,1.7391607394217885,1.5670465373972138,0.15215533457442207,SYN0-06
400,5,1.7479604230993522,1.809156469561348,0.20442728262735607,SYN0-06
400,8,1.5638311170232118,1.8572799984273385,0.17213827277126062,SYN0-06
400,12,1.7200768250354026,2.2291220252768777,0.1573448020279991,SYN0-06
400,20,1.7281792584897875,2.3386544588520746,0.13596792116027226,SYN0-06
25,1,0.9694950869276522,0.02025996357229591,0.2016319426836384,SYN0-07
25,2,1.174115222468331,-0.11271565298574299,0.25022039918466416,SYN0-07
25,3,1.3166436505544388,-0.24937576634903633,0.26983210940791397,SYN0-07
25,5,1.382877016522099,-0.41192375397949116,0.28556376120139154,SYN0-07
25,8,1.3418277231670255,-0.5513370038698672,0.2641966445232852,SYN0-07
25,12,1.2451733477149631,-0.5939144358610273,0.29123359503701773,SYN0-07
25,20,0.8130070964989383,-0.5042512698384684,0.3760865322236718,SYN0-07
50,1,1.0935298123114559,-0.004636089838466719,0.16537569009744355,SYN0-07
50,2,1.2866931981724912,0.025210949926806628,0.19942952902423552,SYN0-07
50,3,1.4392552213831353,0.05158751608607307,0.21067060787471784,SYN0-07
50,5,1.594035298967556,-0.16681315823185794,0.24765937194025445,SYN0-07
50,8,1.6632440460548121,-0.44684348191583895,0.27868103123604443,SYN0-07
50,12,1.6193729579807208,-0.5673997226502216,0.28233935736659527,SYN0-07
50,20,1.4732344616592727,-0.6125233068601288,0.23679259933773783,SYN0-07
100,1,1.1767506757648492,-0.08522382118562842,0.11343330114026644,SYN0-07
100,2,1.3713558330408915,0.0037182449962119214,0.16620571974708143,SYN0-07
100,3,1.4741500458791077,0.08545515918639911,0.18722297455764916,SYN0-07
100,5,1.6150128507361012,0.1958699789849876,0.23195497381515068,SYN0-07
100,8,1.8158177298277483,0.02770309311516853,0.24843142975521743,SYN0-07
100,12,1.9032986860859802,-0.35525160494008395,0.2532872855657234,SYN0-07
100,20,1.7853982144538352,-0.6056855521653415,0.23845887979781577,SYN0-07
