run,arm,panel,legs,cplx,best_is,setting
OPTM-SYN0-01-s9001,OPT-medium,SYN0-01,1.0,8.333333333333334,1.2089,SYN0
OPTM-SYN0-01-s9002,OPT-medium,SYN0-01,1.0,6.333333333333333,1.3523,SYN0
OPTM-SYN0-02-s9000,OPT-medium,SYN0-02,1.0,4.333333333333333,1.2799,SYN0
OPTM-SYN0-02-s9001,OPT-medium,SYN0-02,2.6666666666666665,6.0,1.0362,SYN0
OPTM-SYN0-02-s9002,OPT-medium,SYN0-02,1.6666666666666667,5.333333333333333,1.0854,SYN0
OPTM-SYN0-03-s9000,OPT-medium,SYN0-03,1.0,7.0,1.3647,SYN0
OPTM-SYN0-03-s9001,OPT-medium,SYN0-03,1.0,4.333333333333333,1.2501,SYN0
OPTM-SYN0-03-s9002,OPT-medium,SYN0-03,1.0,9.0,1.2379,SYN0
OPTM-SYN0-04-s9000,OPT-medium,SYN0-04,1.0,3.0,1.2477,SYN0
OPTM-SYN0-04-s9001,OPT-medium,SYN0-04,1.0,3.6666666666666665,1.6177,SYN0
OPTM-SYN0-04-s9002,OPT-medium,SYN0-04,1.0,3.0,1.1707,SYN0
OPTM-SYN0-05-s9000,OPT-medium,SYN0-05,1.0,4.666666666666667,1.5502,SYN0
OPTM-SYN0-05-s9001,OPT-medium,SYN0-05,2.0,8.333333333333334,1.3572,SYN0
OPTM-SYN0-05-s9002,OPT-medium,SYN0-05,1.0,7.333333333333333,1.0988,SYN0
OPTM-SYN0-06-s9000,OPT-medium,SYN0-06,1.0,1.3333333333333333,1.1614,SYN0
OPTM-SYN0-06-s9001,OPT-medium,SYN0-06,1.0,1.3333333333333333,1.1614,SYN0
OPTM-SYN0-06-s9002,OPT-medium,SYN0-06,1.0,4.0,1.9433,SYN0
OPTM-SYN0-07-s9000,OPT-medium,SYN0-07,1.3333333333333333,4.333333333333333,1.3941,SYN0
OPTM-SYN0-07-s9001,OPT-medium,SYN0-07,1.3333333333333333,1.6666666666666667,1.2396,SYN0
OPTM-SYN0-07-s9002,OPT-medium,SYN0-07,1.0,4.666666666666667,1.3578,SYN0
OPTM-SYN0-08-s9000,OPT-medium,SYN0-08,1.0,5.666666666666667,1.2426,SYN0
OPTM-SYN0-08-s9001,OPT-medium,SYN0-08,1.0,5.333333333333333,1.1951,SYN0
OPTM-SYN0-08-s9002,OPT-medium,SYN0-08,1.3333333333333333,8.666666666666666,1.4089,SYN0
OPTM-SYN0-09-s9000,OPT-medium,SYN0-09,2.0,6.0,1.4316,SYN0
OPTM-SYN0-09-s9001,OPT-medium,SYN0-09,1.0,2.3333333333333335,1.6782,SYN0
OPTM-SYN0-09-s9002,OPT-medium,SYN0-09,1.0,6.333333333333333,1.8969,SYN0
OPTM-SYN0-10-s9000,OPT-medium,SYN0-10,1.0,3.0,1.0637,SYN0
OPTM-SYN0-10-s9001,OPT-medium,SYN0-10,1.0,6.0,1.4495,SYN0
OPTM-SYN0-10-s9002,OPT-medium,SYN0-10,1.0,7.666666666666667,1.2071,SYN0
OPTM-SYN0-11-s9000,OPT-medium,SYN0-11,1.0,2.3333333333333335,1.559,SYN0
OPTM-SYN0-11-s9001,OPT-medium,SYN0-11,2.0,6.333333333333333,1.3478,SYN0
OPTM-SYN0-11-s9002,OPT-medium,SYN0-11,1.0,5.0,1.1856,SYN0
OPTM-SYNA05-00-s9000,OPT-medium,SYNA05-00,2.3333333333333335,7.0,1.4631,SYNA05
OPTM-SYNA05-00-s9001,OPT-medium,SYNA05-00,1.0,11.666666666666666,1.808,SYNA05
OPTM-SYNA05-00-s9002,OPT-medium,SYNA05-00,2.0,7.333333333333333,1.7634,SYNA05
OPTM-SYNA05-01-s9000,OPT-medium,SYNA05-01,1.0,1.3333333333333333,1.6612,SYNA05
OPTM-SYNA05-01-s9001,OPT-medium,SYNA05-01,1.0,2.3333333333333335,1.6612,SYNA05
OPTM-SYNA05-01-s9002,OPT-medium,SYNA05-01,1.0,2.0,1.6612,SYNA05
OPTM-SYNA05-02-s9000,OPT-medium,SYNA05-02,1.0,5.333333333333333,1.3491,SYNA05
OPTM-SYNA05-02-s9001,OPT-medium,SYNA05-02,1.3333333333333333,4.333333333333333,1.1367,SYNA05
OPTM-SYNA05-02-s9002,OPT-medium,SYNA05-02,1.3333333333333333,3.0,1.1959,SYNA05
OPTM-SYNA05-03-s9000,OPT-medium,SYNA05-03,1.0,2.3333333333333335,1.2051,SYNA05
OPTM-SYNA05-03-s9001,OPT-medium,SYNA05-03,1.0,7.333333333333333,1.564,SYNA05
OPTM-SYNA05-03-s9002,OPT-medium,SYNA05-03,2.3333333333333335,3.6666666666666665,1.5647,SYNA05
OPTM-SYNA10-00-s9000,OPT-medium,SYNA10-00,1.0,2.3333333333333335,1.9338,SYNA10
OPTM-SYNA10-00-s9001,OPT-medium,SYNA10-00,1.0,2.3333333333333335,1.9338,SYNA10
OPTM-SYNA10-00-s9002,OPT-medium,SYNA10-00,1.6666666666666667,4.666666666666667,2.2249,SYNA10
OPTM-SYNA10-01-s9000,OPT-medium,SYNA10-01,1.0,4.333333333333333,1.4584,SYNA10
OPTM-SYNA10-01-s9001,OPT-medium,SYNA10-01,1.0,4.666666666666667,1.7983,SYNA10
OPTM-SYNA10-01-s9002,OPT-medium,SYNA10-01,3.3333333333333335,12.0,1.5839,SYNA10
OPTM-SYNA10-02-s9000,OPT-medium,SYNA10-02,1.0,3.0,1.879,SYNA10
OPTM-SYNA10-02-s9001,OPT-medium,SYNA10-02,1.0,3.6666666666666665,1.7401,SYNA10
OPTM-SYNA10-02-s9002,OPT-medium,SYNA10-02,2.0,6.666666666666667,2.0374,SYNA10
OPTM-SYNA10-03-s9000,OPT-medium,SYNA10-03,1.0,3.0,1.7383,SYNA10
OPTM-SYNA10-03-s9001,OPT-medium,SYNA10-03,2.3333333333333335,7.0,1.7586,SYNA10
OPTM-SYNA10-03-s9002,OPT-medium,SYNA10-03,2.3333333333333335,5.333333333333333,1.7749,SYNA10
OPTS-REAL-s9000,OPT-soft,REAL,1.0,1.6666666666666667,1.2132,REAL
OPTS-REAL-s9001,OPT-soft,REAL,1.0,4.0,1.3933,REAL
OPTS-REAL-s9002,OPT-soft,REAL,1.0,4.0,1.6165,REAL
OPTS-REAL-s9003,OPT-soft,REAL,1.0,4.333333333333333,1.3247,REAL
OPTS-REAL-s9004,OPT-soft,REAL,1.0,3.3333333333333335,1.4965,REAL
OPTS-SYN0-00-s9000,OPT-soft,SYN0-00,1.0,1.6666666666666667,1.1254,SYN0
OPTS-SYN0-00-s9001,OPT-soft,SYN0-00,1.3333333333333333,7.666666666666667,1.2391,SYN0
OPTS-SYN0-00-s9002,OPT-soft,SYN0-00,1.0,12.333333333333334,1.5589,SYN0
OPTS-SYN0-01-s9000,OPT-soft,SYN0-01,1.3333333333333333,6.333333333333333,1.0993,SYN0
OPTS-SYN0-01-s9001,OPT-soft,SYN0-01,1.0,4.0,1.2089,SYN0
OPTS-SYN0-01-s9002,OPT-soft,SYN0-01,1.0,6.0,1.2524,SYN0
OPTS-SYN0-02-s9000,OPT-soft,SYN0-02,1.3333333333333333,2.6666666666666665,1.0265,SYN0
OPTS-SYN0-02-s9001,OPT-soft,SYN0-02,1.3333333333333333,4.0,1.1514,SYN0
OPTS-SYN0-02-s9002,OPT-soft,SYN0-02,1.3333333333333333,6.333333333333333,1.136,SYN0
OPTS-SYN0-03-s9000,OPT-soft,SYN0-03,1.0,11.0,1.3731,SYN0
OPTS-SYN0-03-s9001,OPT-soft,SYN0-03,1.3333333333333333,5.666666666666667,1.294,SYN0
OPTS-SYN0-03-s9002,OPT-soft,SYN0-03,1.6666666666666667,5.0,1.5425,SYN0
OPTS-SYN0-04-s9000,OPT-soft,SYN0-04,1.0,1.6666666666666667,0.9314,SYN0
OPTS-SYN0-04-s9001,OPT-soft,SYN0-04,1.0,6.666666666666667,1.1647,SYN0
OPTS-SYN0-04-s9002,OPT-soft,SYN0-04,2.0,4.333333333333333,1.0104,SYN0
OPTS-SYN0-05-s9000,OPT-soft,SYN0-05,1.0,4.0,1.2941,SYN0
OPTS-SYN0-05-s9001,OPT-soft,SYN0-05,1.3333333333333333,8.0,1.0959,SYN0
OPTS-SYN0-05-s9002,OPT-soft,SYN0-05,1.0,3.0,1.3935,SYN0
OPTS-SYN0-06-s9000,OPT-soft,SYN0-06,2.0,4.666666666666667,1.3827,SYN0
OPTS-SYN0-06-s9001,OPT-soft,SYN0-06,1.0,4.666666666666667,1.1684,SYN0
OPTS-SYN0-06-s9002,OPT-soft,SYN0-06,1.0,1.3333333333333333,1.1614,SYN0
OPTS-SYN0-07-s9000,OPT-soft,SYN0-07,1.0,3.0,1.2815,SYN0
OPTS-SYN0-07-s9001,OPT-soft,SYN0-07,1.3333333333333333,3.0,1.307,SYN0
OPTS-SYN0-07-s9002,OPT-soft,SYN0-07,1.3333333333333333,3.0,1.2244,SYN0
OPTS-SYN0-08-s9000,OPT-soft,SYN0-08,1.0,4.333333333333333,1.3087,SYN0
OPTS-SYN0-08-s9001,OPT-soft,SYN0-08,1.3333333333333333,7.0,1.0687,SYN0
OPTS-SYN0-08-s9002,OPT-soft,SYN0-08,1.0,7.0,1.19,SYN0
OPTS-SYN0-09-s9000,OPT-soft,SYN0-09,1.3333333333333333,3.6666666666666665,1.3313,SYN0
OPTS-SYN0-09-s9001,OPT-soft,SYN0-09,1.0,3.0,1.5689,SYN0
OPTS-SYN0-09-s9002,OPT-soft,SYN0-09,1.3333333333333333,6.333333333333333,1.0989,SYN0
OPTS-SYN0-10-s9000,OPT-soft,SYN0-10,1.0,7.666666666666667,1.294,SYN0
OPTS-SYN0-10-s9001,OPT-soft,SYN0-10,1.0,10.0,1.9126,SYN0
OPTS-SYN0-10-s9002,OPT-soft,SYN0-10,1.0,5.666666666666667,0.9637,SYN0
OPTS-SYN0-11-s9000,OPT-soft,SYN0-11,1.0,1.6666666666666667,0.9075,SYN0
OPTS-SYN0-11-s9001,OPT-soft,SYN0-11,2.0,6.333333333333333,1.1221,SYN0
OPTS-SYN0-11-s9002,OPT-soft,SYN0-11,1.0,4.333333333333333,1.2898,SYN0
