run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTH-SYN0-05-s9001,OPT-hard,SYN0-05,SYN0,argmax,1.5914166641629204,1.1774335259905027,0.4139831381724177
OPTH-SYN0-05-s9002,OPT-hard,SYN0-05,SYN0,chosen,1.502977154633142,-1.179042898943582,2.682020053576724
OPTH-SYN0-05-s9002,OPT-hard,SYN0-05,SYN0,argmax,1.502977154633142,-1.179042898943582,2.682020053576724
OPTH-SYN0-06-s9000,OPT-hard,SYN0-06,SYN0,chosen,1.2016613096462962,2.032996532343956,-0.8313352226976596
OPTH-SYN0-06-s9000,OPT-hard,SYN0-06,SYN0,argmax,1.2016613096462962,2.032996532343956,-0.8313352226976596
OPTH-SYN0-06-s9001,OPT-hard,SYN0-06,SYN0,chosen,1.2444041229521472,1.64727420223214,-0.40287007927999285
OPTH-SYN0-06-s9001,OPT-hard,SYN0-06,SYN0,argmax,1.2444041229521472,1.64727420223214,-0.40287007927999285
OPTH-SYN0-06-s9002,OPT-hard,SYN0-06,SYN0,chosen,1.2016613096462962,2.032996532343956,-0.8313352226976596
OPTH-SYN0-06-s9002,OPT-hard,SYN0-06,SYN0,argmax,1.2016613096462962,2.032996532343956,-0.8313352226976596
OPTH-SYN0-07-s9000,OPT-hard,SYN0-07,SYN0,chosen,1.6931805266795679,1.163844994147138,0.5293355325324298
OPTH-SYN0-07-s9000,OPT-hard,SYN0-07,SYN0,argmax,1.6931805266795679,1.163844994147138,0.5293355325324298
OPTH-SYN0-07-s9001,OPT-hard,SYN0-07,SYN0,chosen,1.2238981211641426,-0.5587903631340875,1.7826884842982302
OPTH-SYN0-07-s9001,OPT-hard,SYN0-07,SYN0,argmax,1.2238981211641426,-0.5587903631340875,1.7826884842982302
OPTH-SYN0-07-s9002,OPT-hard,SYN0-07,SYN0,chosen,1.2873478658091073,-0.40080319353032556,1.6881510593394329
OPTH-SYN0-07-s9002,OPT-hard,SYN0-07,SYN0,argmax,1.2873478658091073,-0.40080319353032556,1.6881510593394329
OPTH-SYN0-08-s9000,OPT-hard,SYN0-08,SYN0,chosen,1.2591186978155648,-1.2478047257370513,2.506923423552616
OPTH-SYN0-08-s9000,OPT-hard,SYN0-08,SYN0,argmax,1.2591186978155648,-1.2478047257370513,2.506923423552616
OPTH-SYN0-08-s9001,OPT-hard,SYN0-08,SYN0,chosen,1.5568683099820584,-1.3508838885232206,2.907752198505279
OPTH-SYN0-08-s9001,OPT-hard,SYN0-08,SYN0,argmax,1.5568683099820584,-1.3508838885232206,2.907752198505279
OPTH-SYN0-08-s9002,OPT-hard,SYN0-08,SYN0,chosen,1.0568959791108068,1.2132159453668123,-0.15631996625600553
OPTH-SYN0-08-s9002,OPT-hard,SYN0-08,SYN0,argmax,1.0568959791108068,1.2132159453668123,-0.15631996625600553
OPTH-SYN0-09-s9000,OPT-hard,SYN0-09,SYN0,chosen,1.7720774151455785,0.059551638330684664,1.7125257768148938
OPTH-SYN0-09-s9000,OPT-hard,SYN0-09,SYN0,argmax,1.7720774151455785,0.059551638330684664,1.7125257768148938
OPTH-SYN0-09-s9001,OPT-hard,SYN0-09,SYN0,chosen,1.8208115967996634,-0.935990378340657,2.7568019751403203
